# l[4]( l_4(t) ) connection: point2-point5
n t l_4(t)
729 1.822500 1.000000129708
730 1.825000 1.000000143506
731 1.827500 1.000000164148
732 1.830000 1.000000191099
733 1.832500 1.000000223668
734 1.835000 1.000000261036
735 1.837500 1.000000302278
736 1.840000 1.000000346367
737 1.842500 1.000000392180
738 1.845000 1.000000438502
739 1.847500 1.000000484026
740 1.850000 1.000000527374
741 1.852500 1.000000567132
742 1.855000 1.000000601871
743 1.857500 1.000000630171
744 1.860000 1.000000650672
745 1.862500 1.000000662077
746 1.865000 1.000000663143
747 1.867500 1.000000652705
748 1.870000 1.000000629697
749 1.872500 1.000000593185
750 1.875000 1.000000542418
751 1.877500 1.000000476860
752 1.880000 1.000000396211
753 1.882500 1.000000300410
754 1.885000 1.000000189632
755 1.887500 1.000000064290
756 1.890000 0.999999925048
757 1.892500 0.999999772820
758 1.895000 0.999999608757
759 1.897500 0.999999434254
760 1.900000 0.999999250930
761 1.902500 0.999999060611
762 1.905000 0.999998865299
763 1.907500 0.999998667161
764 1.910000 0.999998468511
765 1.912500 0.999998271770
766 1.915000 0.999998079430
767 1.917500 0.999997894030
768 1.920000 0.999997718148
769 1.922500 0.999997554349
770 1.925000 0.999997405133
771 1.927500 0.999997272896
772 1.930000 0.999997159915
773 1.932500 0.999997068315
774 1.935000 0.999997000014
775 1.937500 0.999996956706
776 1.940000 0.999996939854
777 1.942500 0.999996950675
778 1.945000 0.999996990103
779 1.947500 0.999997058774
780 1.950000 0.999997157002
781 1.952500 0.999997284750
782 1.955000 0.999997441622
783 1.957500 0.999997626846
784 1.960000 0.999997839282
785 1.962500 0.999998077434
786 1.965000 0.999998339462
787 1.967500 0.999998623195
788 1.970000 0.999998926165
789 1.972500 0.999999245660
790 1.975000 0.999999578759
791 1.977500 0.999999922359
792 1.980000 1.000000273202
793 1.982500 1.000000627922
794 1.985000 1.000000983106
795 1.987500 1.000001335335
796 1.990000 1.000001681214
797 1.992500 1.000002017391
798 1.995000 1.000002340610
799 1.997500 1.000002647755
800 2.000000 1.000002935865
801 2.002500 1.000003202164
802 2.005000 1.000003444098
803 2.007500 1.000003659361
804 2.010000 1.000003845932
805 2.012500 1.000004002098
806 2.015000 1.000004126466
807 2.017500 1.000004217987
808 2.020000 1.000004276004
809 2.022500 1.000004300250
810 2.025000 1.000004290836
811 2.027500 1.000004248250
812 2.030000 1.000004173345
813 2.032500 1.000004067308
814 2.035000 1.000003931631
815 2.037500 1.000003768102
